Bug Id,Training Time (s),Time (s),Total Time (s),25%,,,,,Time (s),Total Time (s),50%,,,,,Time (s),Total Time (s),75%,,,,,Time (s),Total Time (s),100%,,,,
,,,,Metallaxis,,,,MUSE,,,Metallaxis,,,,MUSE,,,Metallaxis,,,,MUSE,,,Metallaxis,,,,MUSE
,,,,Type 1,,Type 2,,,,,Type 1,,Type 2,,,,,Type 1,,Type 2,,,,,Type 1,,Type 2,,
,,,,SBI,Ochiai,SBI,Ochiai,,,,SBI,Ochiai,SBI,Ochiai,,,,SBI,Ochiai,SBI,Ochiai,,,,SBI,Ochiai,SBI,Ochiai,
50914860,27.46,4007.24,4034.7,FALSE,TRUE,FALSE,TRUE,TRUE,4687.01,4714.47,FALSE,TRUE,FALSE,TRUE,TRUE,6152.94,6180.4,FALSE,TRUE,FALSE,TRUE,TRUE,7063.71,7091.17,FALSE,TRUE,FALSE,TRUE,TRUE
51185079,0.48,1579.69,1580.17,FALSE,FALSE,FALSE,FALSE,TRUE,3107.72,3108.2,FALSE,FALSE,FALSE,FALSE,TRUE,4480.18,4480.66,FALSE,FALSE,FALSE,FALSE,TRUE,5620.67,5621.15,FALSE,FALSE,FALSE,FALSE,TRUE
51581521,116.07,1232.72,1348.79,FALSE,FALSE,FALSE,FALSE,FALSE,1828.28,1944.35,FALSE,FALSE,FALSE,FALSE,FALSE,2870.54,2986.61,FALSE,FALSE,FALSE,FALSE,FALSE,3301.91,3417.98,FALSE,FALSE,FALSE,FALSE,FALSE
51749207,298.48,65.67,364.15,TRUE,TRUE,FALSE,FALSE,TRUE,107.87,406.35,TRUE,TRUE,FALSE,FALSE,TRUE,151.29,449.77,TRUE,TRUE,FALSE,FALSE,TRUE,208.29,506.77,TRUE,TRUE,FALSE,FALSE,TRUE
51930566,5.35,7.13,12.48,FALSE,FALSE,FALSE,FALSE,FALSE,8.47,13.82,TRUE,TRUE,FALSE,FALSE,TRUE,17.43,22.78,TRUE,TRUE,FALSE,FALSE,TRUE,16.65,22,TRUE,TRUE,FALSE,FALSE,TRUE
52566823,4.25,5.9,10.15,FALSE,FALSE,FALSE,TRUE,FALSE,14.83,19.08,FALSE,FALSE,FALSE,TRUE,FALSE,20.03,24.28,FALSE,FALSE,FALSE,TRUE,FALSE,24.45,28.7,FALSE,FALSE,FALSE,TRUE,FALSE
52983831,29,11.82,40.82,FALSE,FALSE,FALSE,FALSE,FALSE,24.45,53.45,TRUE,TRUE,TRUE,TRUE,TRUE,36.91,65.91,TRUE,TRUE,TRUE,TRUE,TRUE,48.96,77.96,TRUE,TRUE,TRUE,TRUE,TRUE
53700537,2.09,10.66,12.75,FALSE,FALSE,FALSE,FALSE,TRUE,20.98,23.07,FALSE,FALSE,FALSE,FALSE,TRUE,30.89,32.98,FALSE,FALSE,FALSE,FALSE,TRUE,41.84,43.93,FALSE,FALSE,FALSE,FALSE,TRUE
53749895,21.39,274.49,295.88,FALSE,FALSE,FALSE,TRUE,FALSE,380.57,401.96,FALSE,FALSE,FALSE,TRUE,FALSE,514.29,535.68,FALSE,FALSE,FALSE,TRUE,FALSE,643.11,664.5,FALSE,FALSE,FALSE,TRUE,FALSE
54064299,820.05,420.96,1241.01,FALSE,FALSE,FALSE,FALSE,FALSE,740.57,1560.62,FALSE,FALSE,FALSE,FALSE,FALSE,1107.48,1927.53,FALSE,FALSE,FALSE,FALSE,FALSE,1484.56,2304.61,FALSE,FALSE,FALSE,FALSE,FALSE
54738769,1.19,130.7,131.89,FALSE,FALSE,TRUE,TRUE,FALSE,356.07,357.26,FALSE,FALSE,TRUE,TRUE,FALSE,624.63,625.82,FALSE,FALSE,TRUE,TRUE,FALSE,772.57,773.76,FALSE,FALSE,TRUE,TRUE,FALSE
54811239,1.03,78.55,79.58,FALSE,FALSE,TRUE,TRUE,FALSE,162.64,163.67,FALSE,FALSE,TRUE,TRUE,FALSE,215.58,216.61,FALSE,FALSE,TRUE,TRUE,FALSE,283.78,284.81,FALSE,FALSE,TRUE,TRUE,FALSE
55198221,94.03,442,536.03,FALSE,FALSE,FALSE,FALSE,TRUE,380.83,474.86,TRUE,TRUE,FALSE,FALSE,TRUE,522.66,616.69,TRUE,TRUE,FALSE,FALSE,TRUE,646.57,740.6,TRUE,TRUE,FALSE,FALSE,TRUE
55328966,202.32,1302.12,1504.44,FALSE,FALSE,FALSE,FALSE,TRUE,2249.04,2451.36,FALSE,FALSE,FALSE,FALSE,TRUE,3289.38,3491.7,FALSE,FALSE,FALSE,FALSE,TRUE,4225.37,4427.69,FALSE,FALSE,FALSE,FALSE,TRUE
58043002,43.27,51.57,94.84,TRUE,TRUE,TRUE,TRUE,TRUE,103.61,146.88,TRUE,TRUE,TRUE,TRUE,TRUE,151.33,194.6,TRUE,TRUE,TRUE,TRUE,TRUE,202.9,246.17,TRUE,TRUE,TRUE,TRUE,TRUE
58051767,41.45,22.73,64.18,FALSE,TRUE,FALSE,FALSE,TRUE,39.17,80.62,FALSE,TRUE,FALSE,FALSE,TRUE,60.18,101.63,FALSE,TRUE,FALSE,FALSE,TRUE,81.56,123.01,FALSE,TRUE,FALSE,FALSE,TRUE
58055105,8.08,31.78,39.86,TRUE,TRUE,FALSE,FALSE,TRUE,65.08,73.16,TRUE,TRUE,FALSE,FALSE,TRUE,101.12,109.2,TRUE,TRUE,FALSE,FALSE,TRUE,132.71,140.79,TRUE,TRUE,FALSE,FALSE,TRUE
58064701,5.05,14.42,19.47,FALSE,TRUE,FALSE,FALSE,TRUE,30.95,36,FALSE,TRUE,FALSE,FALSE,TRUE,46.36,51.41,FALSE,TRUE,FALSE,FALSE,TRUE,62.16,67.21,FALSE,TRUE,FALSE,FALSE,TRUE
58333926,23.16,2210.02,2233.18,TRUE,FALSE,TRUE,FALSE,FALSE,3923.23,3946.39,TRUE,FALSE,TRUE,FALSE,FALSE,5769.92,5793.08,TRUE,FALSE,TRUE,FALSE,FALSE,7492.32,7515.48,TRUE,FALSE,TRUE,FALSE,TRUE
58572274,0.02,2.18,2.2,FALSE,FALSE,FALSE,FALSE,FALSE,4.76,4.78,FALSE,FALSE,FALSE,FALSE,FALSE,7.16,7.18,FALSE,FALSE,FALSE,FALSE,FALSE,9.64,9.66,FALSE,FALSE,FALSE,FALSE,FALSE
